"Country","Date_reported","Country_code","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Population","New_cases_pc","Cumulative_cases_pc","New_deaths_pc","Cumulative_deaths_pc"
"Latvia","4/3/2020","LV","EURO",12,458,0,0,1.92717,6.22675e-06,0.000237654,0,0
"Liechtenstein","1/3/2020","LI","EURO",0,0,0,0,2.801541,0,0,0,0
"Liechtenstein","4/3/2020","LI","EURO",1,77,0,0,2.801541,3.56946e-07,2.74849e-05,0,0
"Liechtenstein","10/3/2020","LI","EURO",3,125,0,1,2.801541,1.07084e-06,4.46183e-05,0,3.56946e-07
"Liechtenstein","7/3/2020","LI","EURO",0,84,0,1,2.801541,0,2.99835e-05,0,3.56946e-07
"Luxembourg","1/3/2020","LU","EURO",0,0,0,0,0.60795,0,0,0,0
"Luxembourg","10/3/2020","LU","EURO",114,8709,0,125,0.60795,0.000187515,0.014325191,0,0.000205609
"Luxembourg","4/3/2020","LU","EURO",168,2487,1,30,0.60795,0.000276339,0.004090797,1.64487e-06,4.93462e-05
"Luxembourg","7/3/2020","LU","EURO",50,4395,0,110,0.60795,8.22436e-05,0.007229213,0,0.000180936
"Malta","1/3/2020","MT","EURO",0,0,0,0,0.483793,0,0,0,0
"Malta","7/3/2020","MT","EURO",0,670,0,9,0.483793,0,0.00138489,0,1.8603e-05
"Malta","10/3/2020","MT","EURO",44,3130,2,37,0.483793,9.0948e-05,0.006469709,4.134e-06,7.6479e-05
"Malta","4/3/2020","MT","EURO",7,195,0,0,0.483793,1.4469e-05,0.000403065,0,0
"Mexico","7/3/2020","MX","AMRO",5681,231770,741,28510,125.327797,4.53291e-05,0.00184931,5.9125e-06,0.000227483
"Mexico","4/3/2020","MX","AMRO",163,1378,8,37,125.327797,1.30059e-06,1.09952e-05,6.38326e-08,2.95226e-07
"Mexico","10/3/2020","MX","AMRO",5099,748315,432,78078,125.327797,4.06853e-05,0.005970862,3.44696e-06,0.00062299
"Mexico","1/3/2020","MX","AMRO",0,0,0,0,125.327797,0,0,0,0
"Netherlands","10/3/2020","NL","EURO",3804,127659,9,6427,17.231622,0.000220757,0.007408415,5.22296e-07,0.000372977
"Netherlands","1/3/2020","NL","EURO",0,0,0,0,17.231622,0,0,0,0
"Netherlands","7/3/2020","NL","EURO",75,50196,3,6092,17.231622,4.35246e-06,0.002913017,1.74099e-07,0.000353536
"Netherlands","4/3/2020","NL","EURO",1083,14543,155,1292,17.231622,6.28496e-05,0.000843972,8.99509e-06,7.49784e-05
"New Zealand","7/3/2020","NZ","WPRO",0,1180,0,22,4.8855,0,0.000241531,0,4.50312e-06
"New Zealand","10/3/2020","NZ","WPRO",1,1493,0,25,4.8855,2.04687e-07,0.000305598,0,5.11718e-06
"New Zealand","1/3/2020","NZ","WPRO",0,0,0,0,4.8855,0,0,0,0
"New Zealand","4/3/2020","NZ","WPRO",51,774,0,1,4.8855,1.04391e-05,0.000158428,0,2.04687e-07
"Norway","10/3/2020","NO","EURO",122,14149,1,275,5.311916,2.29672e-05,0.002663634,1.88256e-07,5.17704e-05
"Norway","7/3/2020","NO","EURO",8,8895,0,251,5.311916,1.50605e-06,0.001674537,0,4.72523e-05
"Norway","4/3/2020","NO","EURO",270,4935,10,42,5.311916,5.08291e-05,0.000929043,1.88256e-06,7.90675e-06
"Norway","1/3/2020","NO","EURO",0,0,0,0,5.311916,0,0,0,0
"Poland","1/3/2020","PL","EURO",0,0,0,0,38.413139,0,0,0,0
"Poland","4/3/2020","PL","EURO",392,2946,14,57,38.413139,1.02048e-05,7.66925e-05,3.64459e-07,1.48387e-06
"Poland","7/3/2020","PL","EURO",371,35146,15,1492,38.413139,9.65815e-06,0.000914947,3.90491e-07,3.88409e-05
"Poland","10/3/2020","PL","EURO",2292,95773,27,2570,38.413139,5.96671e-05,0.002493235,7.02885e-07,6.69042e-05
"Portugal","7/3/2020","PT","EURO",328,42782,8,1587,10.283822,3.18948e-05,0.004160126,7.77921e-07,0.00015432
"Portugal","10/3/2020","PT","EURO",888,77284,6,1983,10.283822,8.63492e-05,0.007515105,5.83441e-07,0.000192827
"Portugal","1/3/2020","PT","EURO",0,0,0,0,10.283822,0,0,0,0
"Portugal","4/3/2020","PT","EURO",783,9034,22,209,10.283822,7.6139e-05,0.000878467,2.13928e-06,2.03232e-05
"Republic of Korea","1/3/2020","KR","WPRO",0,0,0,0,51.635256,0,0,0,0
"Republic of Korea","4/3/2020","KR","WPRO",86,10062,5,174,51.635256,1.66553e-06,0.000194867,9.68331e-08,3.36979e-06
"Republic of Korea","7/3/2020","KR","WPRO",61,12965,0,282,51.635256,1.18136e-06,0.000251088,0,5.46138e-06
"Republic of Korea","10/3/2020","KR","WPRO",75,24027,4,420,51.635256,1.4525e-06,0.000465322,7.74665e-08,8.13398e-06
"Romania","1/3/2020","RO","EURO",0,0,0,0,19.471332,0,0,0,0
"Romania","4/3/2020","RO","EURO",278,2738,9,94,19.471332,1.42774e-05,0.000140617,4.62218e-07,4.82761e-06
"Romania","7/3/2020","RO","EURO",450,27746,20,1687,19.471332,2.31109e-05,0.001424967,1.02715e-06,8.66402e-05
"Romania","10/3/2020","RO","EURO",2343,132001,53,4915,19.471332,0.000120331,0.006779249,2.72195e-06,0.000252422
"Saudi Arabia","7/3/2020","SA","EMRO",3383,197608,54,1752,33.41366,0.000101246,0.005913988,1.61611e-06,5.24336e-05
"Saudi Arabia","10/3/2020","SA","EMRO",481,335578,29,4823,33.41366,1.43953e-05,0.010043138,8.67909e-07,0.000144342
"Saudi Arabia","1/3/2020","SA","EMRO",0,0,0,0,33.41366,0,0,0,0
"Saudi Arabia","4/3/2020","SA","EMRO",154,2039,4,25,33.41366,4.60889e-06,6.10229e-05,1.19712e-07,7.48197e-07
"Singapore","10/3/2020","SG","WPRO",10,57794,0,27,3.994283,2.50358e-06,0.01446918,0,6.75966e-06
"Singapore","1/3/2020","SG","WPRO",0,0,0,0,3.994283,0,0,0,0
"Singapore","7/3/2020","SG","WPRO",188,44310,0,26,3.994283,4.70673e-05,0.011093355,0,6.5093e-06
"Singapore","4/3/2020","SG","WPRO",49,1049,1,4,3.994283,1.22675e-05,0.000262625,2.50358e-07,1.00143e-06
"Slovakia","4/3/2020","SK","EURO",37,400,0,0,5.446771,6.79302e-06,7.3438e-05,0,0
"Slovakia","7/3/2020","SK","EURO",20,1687,0,28,5.446771,3.6719e-06,0.000309725,0,5.14066e-06
"Slovakia","1/3/2020","SK","EURO",0,0,0,0,5.446771,0,0,0,0
"Slovakia","10/3/2020","SK","EURO",797,10938,0,48,5.446771,0.000146325,0.002008162,0,8.81256e-06
"Slovenia","7/3/2020","SI","EURO",21,1633,0,114,2.07005,1.01447e-05,0.00078887,0,5.50711e-05
"Slovenia","4/3/2020","SI","EURO",55,897,1,20,2.07005,2.65694e-05,0.000433323,4.8308e-07,9.6616e-06
"Slovenia","1/3/2020","SI","EURO",0,0,0,0,2.07005,0,0,0,0
"Slovenia","10/3/2020","SI","EURO",239,6105,2,159,2.07005,0.000115456,0.002949204,9.6616e-07,7.68097e-05
"South Africa","1/3/2020","ZA","AFRO",0,0,0,0,57.725606,0,0,0,0
"South Africa","10/3/2020","ZA","AFRO",1749,677833,43,16909,57.725606,3.02985e-05,0.011742328,7.44903e-07,0.00029292
"South Africa","4/3/2020","ZA","AFRO",82,1462,0,5,57.725606,1.42051e-06,2.53267e-05,0,8.66167e-08
"South Africa","7/3/2020","ZA","AFRO",8728,168061,95,2844,57.725606,0.000151198,0.002911377,1.64572e-06,4.92676e-05
"Spain","7/3/2020","ES","EURO",521,260017,10,29765,46.733038,1.11484e-05,0.00556388,2.13981e-07,0.000636916
"Spain","10/3/2020","ES","EURO",11354,842863,131,34269,46.733038,0.000242954,0.018035699,2.80316e-06,0.000733293
"Spain","4/3/2020","ES","EURO",7058,131421,895,11285,46.733038,0.000151028,0.002812165,1.91513e-05,0.000241478
"Spain","1/3/2020","ES","EURO",0,0,0,0,46.733038,0,0,0,0
"Sweden","1/3/2020","SE","EURO",0,0,0,0,10.175214,0,0,0,0
"Sweden","10/3/2020","SE","EURO",633,94473,1,5884,10.175214,6.221e-05,0.00928462,9.8278e-08,0.000578268
"Sweden","7/3/2020","SE","EURO",685,68551,15,5529,10.175214,6.73205e-05,0.006737057,1.47417e-06,0.000543379
"Sweden","4/3/2020","SE","EURO",486,5320,53,385,10.175214,4.77631e-05,0.000522839,5.20874e-06,3.7837e-05
"Switzerland","10/3/2020","CH","EURO",677,55320,1,1830,8.513227,7.95233e-05,0.006498123,1.17464e-07,0.00021496
"Switzerland","1/3/2020","CH","EURO",0,0,0,0,8.513227,0,0,0,0
"Switzerland","7/3/2020","CH","EURO",127,32135,0,1727,8.513227,1.4918e-05,0.003774714,0,0.000202861
"Switzerland","4/3/2020","CH","EURO",877,20930,60,600,8.513227,0.000103016,0.002458527,7.04786e-06,7.04786e-05
"The United Kingdom","1/3/2020","GB","EURO",0,0,0,0,66.43555,0,0,0,0
"The United Kingdom","4/3/2020","GB","EURO",4913,43385,657,3782,66.43555,7.39514e-05,0.000653039,9.88928e-06,5.69274e-05
"The United Kingdom","7/3/2020","GB","EURO",651,285543,41,40532,66.43555,9.79897e-06,0.004298045,6.17139e-07,0.000610095
"The United Kingdom","10/3/2020","GB","EURO",6968,467150,66,42268,66.43555,0.000104884,0.007031627,9.93444e-07,0.000636226
"Turkey","4/3/2020","TR","EURO",2456,18135,79,356,81.407211,3.01693e-05,0.000222769,9.7043e-07,4.37308e-06
"Turkey","1/3/2020","TR","EURO",0,0,0,0,81.407211,0,0,0,0
"Turkey","7/3/2020","TR","EURO",1186,202284,17,5167,81.407211,1.45687e-05,0.002484841,2.08827e-07,6.3471e-05
"Turkey","10/3/2020","TR","EURO",8172,772422,63,8325,81.407211,0.000100384,0.009488373,7.73887e-07,0.000102264
"United States of America","10/3/2020","US","AMRO",46293,7206769,892,206558,327.167434,0.000141496,0.02202777,2.72643e-06,0.000631353
"United States of America","1/3/2020","US","AMRO",0,0,0,0,327.167434,0,0,0,0
"United States of America","4/3/2020","US","AMRO",26298,213600,947,4793,327.167434,8.03809e-05,0.000652877,2.89454e-06,1.465e-05
"United States of America","7/3/2020","US","AMRO",54271,2671220,725,127858,327.167434,0.000165881,0.008164688,2.21599e-06,0.000390803
