"Country","Date_reported","Country_code","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Population","New_cases_pc","Cumulative_cases_pc","New_deaths_pc","Cumulative_deaths_pc"
"China","1/28/2020","CN","WPRO",1772,4537,26,106,1415.045928,1.25226e-06,3.20626e-06,1.8374e-08,7.49092e-08
"China","3/28/2020","CN","WPRO",120,82213,3,3301,1415.045928,8.48029e-08,5.80992e-05,2.12007e-09,2.33279e-06
"China","2/28/2020","CN","WPRO",329,78963,44,2791,1415.045928,2.32501e-07,5.58024e-05,3.10944e-08,1.97237e-06
"China","1/28/2021","CN","WPRO",117,100548,2,4818,1415.045928,8.26828e-08,7.10564e-05,1.41338e-09,3.40484e-06
"China","6/28/2020","CN","WPRO",18,85190,0,4648,1415.045928,1.27204e-08,6.0203e-05,0,3.2847e-06
"China","5/28/2020","CN","WPRO",3,84547,0,4645,1415.045928,2.12007e-09,5.97486e-05,0,3.28258e-06
"China","10/28/2020","CN","WPRO",47,91772,0,4746,1415.045928,3.32145e-08,6.48544e-05,0,3.35395e-06
"Colombia","10/28/2020","CO","AMRO",9167,1025052,194,30348,49.83424,0.00018395,0.020569231,3.89291e-06,0.000608979
"Colombia","6/28/2020","CO","AMRO",3843,84442,157,2811,49.83424,7.71157e-05,0.001694457,3.15044e-06,5.6407e-05
"Colombia","7/28/2020","CO","AMRO",8181,248976,256,8525,49.83424,0.000164164,0.004996083,5.13703e-06,0.000171067
"Colombia","2/28/2020","CO","AMRO",0,0,0,0,49.83424,0,0,0,0
"Colombia","9/28/2020","CO","AMRO",7721,806038,193,25296,49.83424,0.000154934,0.016174381,3.87284e-06,0.000507603
"Colombia","5/28/2020","CO","AMRO",1022,23003,26,776,49.83424,2.0508e-05,0.00046159,5.2173e-07,1.55716e-05
"Colombia","1/28/2020","CO","AMRO",0,0,0,0,49.83424,0,0,0,0
"Colombia","3/28/2020","CO","AMRO",21,491,2,6,49.83424,4.21397e-07,9.85266e-06,4.0133e-08,1.20399e-07
"Colombia","11/28/2020","CO","AMRO",9496,1280487,159,36019,49.83424,0.000190552,0.025694924,3.19058e-06,0.000722776
"Colombia","8/28/2020","CO","AMRO",10142,572270,295,18184,49.83424,0.000203515,0.01148347,5.91962e-06,0.00036489
"Colombia","12/28/2020","CO","AMRO",10196,1584903,253,41943,49.83424,0.000204598,0.031803495,5.07683e-06,0.00084165
"Colombia","1/28/2021","CO","AMRO",13606,2041352,381,52128,49.83424,0.000273025,0.04096284,7.64535e-06,0.001046028
"Colombia","4/28/2020","CO","AMRO",237,5379,11,244,49.83424,4.75577e-06,0.000107938,2.20732e-07,4.89623e-06
"Costa Rica","12/28/2020","CR","AMRO",545,164607,14,2117,5.003402,0.000108926,0.032899016,2.7981e-06,0.000423112
"Costa Rica","3/28/2020","CR","AMRO",30,231,0,2,5.003402,5.99592e-06,4.61686e-05,0,3.99728e-07
"Costa Rica","11/28/2020","CR","AMRO",1222,135742,5,1679,5.003402,0.000244234,0.027129941,9.9932e-07,0.000335572
"Costa Rica","2/28/2020","CR","AMRO",0,0,0,0,5.003402,0,0,0,0
"Costa Rica","7/28/2020","CR","AMRO",629,15229,6,104,5.003402,0.000125714,0.003043729,1.19918e-06,2.07859e-05
"Costa Rica","10/28/2020","CR","AMRO",511,104460,14,1312,5.003402,0.000102131,0.020877795,2.7981e-06,0.000262222
"Costa Rica","4/28/2020","CR","AMRO",2,695,0,6,5.003402,3.99728e-07,0.000138905,0,1.19918e-06
"Costa Rica","6/28/2020","CR","AMRO",152,2836,0,12,5.003402,3.03793e-05,0.000566814,0,2.39837e-06
"Costa Rica","9/28/2020","CR","AMRO",1233,72049,16,828,5.003402,0.000246432,0.014400002,3.19782e-06,0.000165487
"Costa Rica","8/28/2020","CR","AMRO",1002,36307,10,386,5.003402,0.000200264,0.007256463,1.99864e-06,7.71475e-05
"Costa Rica","1/28/2021","CR","AMRO",600,191345,9,2567,5.003402,0.000119918,0.038242979,1.79878e-06,0.000513051
"Costa Rica","1/28/2020","CR","AMRO",0,0,0,0,5.003402,0,0,0,0
"Costa Rica","5/28/2020","CR","AMRO",5,956,0,10,5.003402,9.9932e-07,0.00019107,0,1.99864e-06
"Croatia","3/28/2020","HR","EURO",91,586,1,3,4.080666,2.23003e-05,0.000143604,2.45058e-07,7.35174e-07
"Croatia","8/28/2020","HR","EURO",304,9192,2,177,4.080666,7.44976e-05,0.002252573,4.90116e-07,4.33753e-05
"Croatia","9/28/2020","HR","EURO",190,16197,3,272,4.080666,4.6561e-05,0.003969205,7.35174e-07,6.66558e-05
"Croatia","11/28/2020","HR","EURO",4080,119706,48,1600,4.080666,0.000999837,0.029334917,1.17628e-05,0.000392093
"Croatia","6/28/2020","HR","EURO",85,2624,0,107,4.080666,2.08299e-05,0.000643032,0,2.62212e-05
"Croatia","7/28/2020","HR","EURO",24,4881,3,139,4.080666,5.88139e-06,0.001196128,7.35174e-07,3.40631e-05
"Croatia","12/28/2020","HR","EURO",316,205246,68,3739,4.080666,7.74383e-05,0.050297182,1.66639e-05,0.000916272
"Croatia","10/28/2020","HR","EURO",1413,38621,18,470,4.080666,0.000346267,0.009464386,4.41104e-06,0.000115177
"Croatia","2/28/2020","HR","EURO",1,3,0,0,4.080666,2.45058e-07,7.35174e-07,0,0
"Croatia","1/28/2021","HR","EURO",619,230978,30,4943,4.080666,0.000151691,0.056603015,7.35174e-06,0.001211322
"Croatia","5/28/2020","HR","EURO",0,2244,0,101,4.080666,0,0.00054991,0,2.47509e-05
"Croatia","4/28/2020","HR","EURO",9,2039,4,59,4.080666,2.20552e-06,0.000499673,9.80232e-07,1.44584e-05
"Croatia","1/28/2020","HR","EURO",0,0,0,0,4.080666,0,0,0,0
"Cyprus","2/28/2020","CY","EURO",0,0,0,0,0.869006,0,0,0,0
"Cyprus","1/28/2021","CY","EURO",128,30380,3,193,0.869006,0.000147295,0.034959482,3.45222e-06,0.000222093
"Cyprus","5/28/2020","CY","EURO",0,939,0,17,0.869006,0,0.001080545,0,1.95626e-05
"Cyprus","6/28/2020","CY","EURO",2,994,0,19,0.869006,2.30148e-06,0.001143836,0,2.18641e-05
"Cyprus","10/28/2020","CY","EURO",181,3817,0,25,0.869006,0.000208284,0.004392375,0,2.87685e-05
"Cyprus","3/28/2020","CY","EURO",16,162,2,5,0.869006,1.84118e-05,0.00018642,2.30148e-06,5.7537e-06
"Cyprus","1/28/2020","CY","EURO",0,0,0,0,0.869006,0,0,0,0
"Cyprus","7/28/2020","CY","EURO",3,1060,0,19,0.869006,3.45222e-06,0.001219784,0,2.18641e-05
"Cyprus","11/28/2020","CY","EURO",310,9983,0,48,0.869006,0.000356729,0.011487838,0,5.52355e-05
